,TRANSACTION_AMT,CAND_NAME,CAND_OFFICE_ST,CAND_OFFICE,candidate_score,2017_aclu_score,2017_aclu_vote_office,2019_environment_score,2019_environment_vote_office,2017_naacp_score,2017_naacp_vote_office
H4MO05234,3000,"CLEAVER, EMANUEL II",MO,H,93%,87%,HOUSE,97%,HOUSE,94%,HOUSE
H4NC12100,1000,"ADAMS, ALMA SHEALEY",NC,H,93%,85%,HOUSE,96%,HOUSE,97%,HOUSE
H4NC01046,2500,"BUTTERFIELD, G. K.",NC,H,93%,85%,HOUSE,93%,HOUSE,100%,HOUSE
H2OH03125,7500,"BEATTY, JOYCE",OH,H,93%,86%,HOUSE,96%,HOUSE,97%,HOUSE
H8OH11141,7500,"FUDGE, MARCIA L.",OH,H,93%,85%,HOUSE,93%,HOUSE,100%,HOUSE
H2OR01133,3000,"BONAMICI, SUZANNE",OR,H,93%,86%,HOUSE,97%,HOUSE,97%,HOUSE
H4PA18131,2500,"DOYLE, MICHAEL",PA,H,93%,86%,HOUSE,97%,HOUSE,97%,HOUSE
H2TX33073,2500,"VEASEY, MARC ALLISON MR.",TX,H,93%,86%,HOUSE,97%,HOUSE,97%,HOUSE
H6VT00160,5000,"WELCH, PETER",VT,H,93%,86%,HOUSE,97%,HOUSE,97%,HOUSE
H0WA08046,7500,"DELBENE, SUZAN K",WA,H,93%,86%,HOUSE,97%,HOUSE,97%,HOUSE
H2CA28113,3500,"CARDENAS, TONY",CA,H,94%,88%,HOUSE,100%,HOUSE,94%,HOUSE
H6CA05195,3500,"MATSUI, DORIS",CA,H,94%,89%,HOUSE,97%,HOUSE,97%,HOUSE
H4CA11081,1000,"MCNERNEY, GERALD MARK",CA,H,94%,88%,HOUSE,97%,HOUSE,97%,HOUSE
H6CO01141,3000,"DEGETTE, DIANA L",CO,H,94%,92%,HOUSE,97%,HOUSE,94%,HOUSE
H2IL02172,5000,"KELLY, ROBIN",IL,H,94%,86%,HOUSE,97%,HOUSE,100%,HOUSE
H4IN01012,5000,"VISCLOSKY, PETER J.",IN,H,94%,86%,HOUSE,100%,HOUSE,97%,HOUSE
H4MI12079,2500,"DINGELL, DEBBIE",MI,H,94%,86%,HOUSE,97%,HOUSE,100%,HOUSE
H2MI05119,1000,"KILDEE, DANIEL T.",MI,H,94%,86%,HOUSE,97%,HOUSE,100%,HOUSE
H6NC04037,1000,"PRICE, DAVID E.",NC,H,94%,86%,HOUSE,97%,HOUSE,100%,HOUSE
H6OR03064,3500,"BLUMENAUER, EARL",OR,H,94%,93%,HOUSE,93%,HOUSE,97%,HOUSE
H6PA02171,1000,"EVANS, DWIGHT",PA,H,94%,86%,HOUSE,97%,HOUSE,100%,HOUSE
H4TX10028,1000,"DOGGETT, LLOYD",TX,H,94%,89%,HOUSE,97%,HOUSE,97%,HOUSE
H4TX09095,2000,"GREEN, ALEXANDER",TX,H,94%,86%,HOUSE,97%,HOUSE,100%,HOUSE
H2TX00015,1000,"JOHNSON, EDDIE BERNICE",TX,H,94%,89%,HOUSE,97%,HOUSE,97%,HOUSE
H4TX18054,3000,"LEE, SHEILA JACKSON",TX,H,94%,88%,HOUSE,93%,HOUSE,100%,HOUSE
H8VA11062,7500,"CONNOLLY, GERALD EDWARD",VA,H,94%,86%,HOUSE,97%,HOUSE,100%,HOUSE
H4AZ07043,4500,"GALLEGO, RUBEN",AZ,H,95%,89%,HOUSE,97%,HOUSE,100%,HOUSE
H0CA32101,2500,"CHU, JUDY",CA,H,95%,89%,HOUSE,97%,HOUSE,100%,HOUSE
H4CA16049,3000,"LOFGREN, ZOE",CA,H,95%,91%,HOUSE,93%,HOUSE,100%,HOUSE
H2CA00104,1000,"LOWENTHAL, ALAN",CA,H,95%,89%,HOUSE,100%,HOUSE,97%,HOUSE
H2CA33048,3500,"ROYBAL-ALLARD, LUCILLE",CA,H,95%,89%,HOUSE,97%,HOUSE,100%,HOUSE
H2CA39078,2000,"SANCHEZ, LINDA",CA,H,95%,89%,HOUSE,97%,HOUSE,100%,HOUSE
H4CA23011,6000,"WATERS, MAXINE",CA,H,95%,89%,HOUSE,97%,HOUSE,100%,HOUSE
H6TN09068,2500,"COHEN, STEPHEN IRA",TN,H,95%,88%,HOUSE,96%,HOUSE,100%,HOUSE
H4WI04183,1000,"MOORE, GWEN S",WI,H,95%,93%,HOUSE,97%,HOUSE,94%,HOUSE
H8ME01120,1000,"PINGREE, CHELLIE M",ME,H,96%,92%,HOUSE,97%,HOUSE,100%,HOUSE
H2NY13096,2000,"ESPAILLAT, ADRIANO",NY,H,96%,89%,HOUSE,100%,HOUSE,100%,HOUSE
H8NY21203,2500,"TONKO, PAUL DAVID",NY,H,96%,89%,HOUSE,100%,HOUSE,100%,HOUSE
H4VA08224,2500,"BEYER, DONALD STERNOFF HONORABLE JR.",VA,H,96%,93%,HOUSE,97%,HOUSE,97%,HOUSE
H2CA06259,1000,"HUFFMAN, JARED",CA,H,97%,93%,HOUSE,100%,HOUSE,97%,HOUSE
H2CA43245,2500,"TAKANO, MARK",CA,H,97%,93%,HOUSE,97%,HOUSE,100%,HOUSE
H6MD08457,3500,"RASKIN, JAMIE",MD,H,97%,91%,HOUSE,100%,HOUSE,100%,HOUSE
H8NY19058,1000,"ENGEL, ELIOT L.",NY,H,97%,93%,HOUSE,100%,HOUSE,97%,HOUSE
H6VA01117,5000,"SCOTT, ROBERT C",VA,H,97%,93%,HOUSE,97%,HOUSE,100%,HOUSE
H6WA09025,10000,"SMITH, D. ADAM",WA,H,97%,96%,HOUSE,97%,HOUSE,97%,HOUSE
H6CA44103,5000,"BARRAGAN, NANETTE",CA,H,98%,93%,HOUSE,100%,HOUSE,100%,HOUSE
H8NJ03073,7500,"PALLONE, FRANK JR",NJ,H,98%,93%,HOUSE,100%,HOUSE,100%,HOUSE
H4NY11138,5000,"CLARKE, YVETTE  D.",NY,H,98%,93%,HOUSE,100%,HOUSE,100%,HOUSE
H0CA10073,1000,"DESAULNIER, MARK",CA,H,99%,96%,HOUSE,100%,HOUSE,100%,HOUSE
H8CA09060,5000,"LEE, BARBARA",CA,H,99%,96%,HOUSE,100%,HOUSE,100%,HOUSE
H4NJ12149,2000,"COLEMAN, BONNIE WATSON",NJ,H,99%,96%,HOUSE,100%,HOUSE,100%,HOUSE
H2CA37023,1000,"CALVERT, KEN",CA,H,,,,,,,
H2CA36439,2000,"RUIZ, RAUL DR.",CA,H,,,,,,,
H0DC00058,1000,"NORTON, ELEANOR HOLMES",DC,H,,,,,,,
H6GA03113,1000,"FERGUSON, ANDERSON DREW IV",GA,H,,,,,,,
H0MD07114,2500,"MFUME, KWEISI",MD,H,,,,,,,
S8MS00196,2500,"WICKER, ROGER SEN.",MS,S,10%,10%,SENATE,7%,SENATE,13%,SENATE
S0IA00028,1000,"GRASSLEY, CHARLES E ",IA,S,11%,18%,SENATE,7%,SENATE,9%,SENATE
S2KY00012,1000,"MCCONNELL, MITCH",KY,S,11%,5%,SENATE,14%,SENATE,13%,SENATE
S4LA00107,1000,"CASSIDY, WILLIAM M.",LA,S,11%,14%,SENATE,7%,SENATE,13%,SENATE
S0ND00093,2000,"HOEVEN, JOHN",ND,S,11%,5%,SENATE,14%,SENATE,13%,SENATE
S4GA11285,2500,"PERDUE, DAVID",GA,S,12%,14%,SENATE,14%,SENATE,9%,SENATE
S4IA00129,5500,"ERNST, JONI K",IA,S,12%,10%,SENATE,14%,SENATE,13%,SENATE
S4SD00049,5000,"ROUNDS, MIKE",SD,S,12%,5%,SENATE,21%,SENATE,9%,SENATE
S2SD00068,5000,"THUNE, JOHN",SD,S,12%,10%,SENATE,14%,SENATE,13%,SENATE
S0AR00150,2500,"BOOZMAN, JOHN",AR,S,13%,5%,SENATE,21%,SENATE,13%,SENATE
S4AK00214,2000,"SULLIVAN, DAN",AK,S,15%,21%,SENATE,14%,SENATE,9%,SENATE
S0UT00165,5000,"LEE, MIKE",UT,S,15%,36%,SENATE,0%,SENATE,9%,SENATE
S4NC00162,5000,"TILLIS, THOM R. SEN.",NC,S,16%,14%,SENATE,21%,SENATE,13%,SENATE
S4WV00159,5000,"CAPITO, SHELLEY MOORE",WV,S,16%,5%,SENATE,29%,SENATE,13%,SENATE
S0OH00133,5000,"PORTMAN, ROB THE HONORA",OH,S,18%,10%,SENATE,29%,SENATE,16%,SENATE
S0SC00149,6000,"GRAHAM, LINDSEY O.",SC,S,19%,9%,SENATE,29%,SENATE,19%,SENATE
S8AZ00197,2500,"SINEMA, KYRSTEN",AZ,S,24%,,,71%,SENATE,,
S4AK00099,1000,"MURKOWSKI, LISA",AK,S,35%,52%,SENATE,36%,SENATE,16%,SENATE
S4PA00121,1000,"TOOMEY, PATRICK JOSEPH",PA,S,4%,6%,SENATE,0%,SENATE,6%,SENATE
S6ME00159,7500,"COLLINS, SUSAN M.",ME,S,45%,43%,SENATE,64%,SENATE,28%,SENATE
S8AZ00221,5000,"MCSALLY, MARTHA",AZ,S,5%,,,14%,SENATE,,
S8ND00120,2500,"CRAMER, KEVIN MR.",ND,S,6%,4%,HOUSE,,,13%,HOUSE
S4OK00083,7500,"INHOFE, JAMES M. SEN.",OK,S,6%,10%,SENATE,0%,SENATE,9%,SENATE
S8AZ00221,5000,"MCSALLY, MARTHA",AZ,S,7%,7%,HOUSE,,,13%,HOUSE
S4NE00090,5000,"SASSE, BENJAMIN E",NE,S,8%,18%,SENATE,0%,SENATE,6%,SENATE
S0NH00219,2000,"SHAHEEN, JEANNE",NH,S,85%,62%,SENATE,100%,SENATE,94%,SENATE
S6VA00093,4000,"WARNER, MARK ROBERT",VA,S,86%,62%,SENATE,100%,SENATE,97%,SENATE
S6RI00163,10000,"REED, JOHN F.",RI,S,87%,62%,SENATE,100%,SENATE,100%,SENATE
S8ID00092,4500,"RISCH, JAMES E",ID,S,9%,14%,SENATE,7%,SENATE,6%,SENATE
S2WA00189,3000,"MURRAY, PATTY",WA,S,90%,76%,SENATE,93%,SENATE,100%,SENATE
S0DE00092,2500,"COONS, CHRISTOPHER A.",DE,S,91%,77%,SENATE,100%,SENATE,97%,SENATE
S6IL00151,5000,"DURBIN, RICHARD J.",IL,S,94%,82%,SENATE,100%,SENATE,100%,SENATE
S4CO00395,10000,"GARDNER, CORY",CO,S,,,,,,,
S4MI00355,10000,"PETERS, GARY",MI,S,,,,,,,
S2MT00096,3500,"DAINES, STEVE",MT,S,,,,,,,
S4OK00232,3500,"LANKFORD, JAMES PAUL",OK,S,,,,,,,
S8UT00176,1000,"ROMNEY, WILLARD MITT MR",UT,S,,,,,,,
